uri,code,title,class_kind,semantic_level,depth,parent_uri,parent_code,parent_title,child_count,is_leaf,is_three_character_code,is_terminal_code,browser_url
http://id.who.int/icd/release/10/2019/B02.3,B02.3,Zoster ocular disease,category,final_code,4,http://id.who.int/icd/release/10/2019/B02,B02,Zoster [herpes zoster],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B02.3
http://id.who.int/icd/release/10/2019/B02.7,B02.7,Disseminated zoster,category,final_code,4,http://id.who.int/icd/release/10/2019/B02,B02,Zoster [herpes zoster],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B02.7
http://id.who.int/icd/release/10/2019/B02.8,B02.8,Zoster with other complications,category,final_code,4,http://id.who.int/icd/release/10/2019/B02,B02,Zoster [herpes zoster],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B02.8
http://id.who.int/icd/release/10/2019/B02.9,B02.9,Zoster without complication,category,final_code,4,http://id.who.int/icd/release/10/2019/B02,B02,Zoster [herpes zoster],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B02.9
http://id.who.int/icd/release/10/2019/B03,B03,Smallpox,category,three_character,3,http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,0,true,true,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B03
http://id.who.int/icd/release/10/2019/B04,B04,Monkeypox,category,three_character,3,http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,0,true,true,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B04
http://id.who.int/icd/release/10/2019/B05,B05,Measles,category,three_character,3,http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,7,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/B05
http://id.who.int/icd/release/10/2019/B05.0,B05.0,Measles complicated by encephalitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B05,B05,Measles,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B05.0
http://id.who.int/icd/release/10/2019/B05.1,B05.1,Measles complicated by meningitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B05,B05,Measles,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B05.1
http://id.who.int/icd/release/10/2019/B05.2,B05.2,Measles complicated by pneumonia,category,final_code,4,http://id.who.int/icd/release/10/2019/B05,B05,Measles,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B05.2
http://id.who.int/icd/release/10/2019/B05.3,B05.3,Measles complicated by otitis media,category,final_code,4,http://id.who.int/icd/release/10/2019/B05,B05,Measles,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B05.3
http://id.who.int/icd/release/10/2019/B05.4,B05.4,Measles with intestinal complications,category,final_code,4,http://id.who.int/icd/release/10/2019/B05,B05,Measles,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B05.4
http://id.who.int/icd/release/10/2019/B05.8,B05.8,Measles with other complications,category,final_code,4,http://id.who.int/icd/release/10/2019/B05,B05,Measles,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B05.8
http://id.who.int/icd/release/10/2019/B05.9,B05.9,Measles without complication,category,final_code,4,http://id.who.int/icd/release/10/2019/B05,B05,Measles,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B05.9
http://id.who.int/icd/release/10/2019/B06,B06,Rubella [German measles],category,three_character,3,http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,3,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/B06
http://id.who.int/icd/release/10/2019/B06.0,B06.0,Rubella with neurological complications,category,final_code,4,http://id.who.int/icd/release/10/2019/B06,B06,Rubella [German measles],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B06.0
http://id.who.int/icd/release/10/2019/B06.8,B06.8,Rubella with other complications,category,final_code,4,http://id.who.int/icd/release/10/2019/B06,B06,Rubella [German measles],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B06.8
http://id.who.int/icd/release/10/2019/B06.9,B06.9,Rubella without complication,category,final_code,4,http://id.who.int/icd/release/10/2019/B06,B06,Rubella [German measles],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B06.9
http://id.who.int/icd/release/10/2019/B07,B07,Viral warts,category,three_character,3,http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,0,true,true,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B07
http://id.who.int/icd/release/10/2019/B08,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",category,three_character,3,http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,7,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/B08
http://id.who.int/icd/release/10/2019/B08.0,B08.0,Other orthopoxvirus infections,category,final_code,4,http://id.who.int/icd/release/10/2019/B08,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B08.0
http://id.who.int/icd/release/10/2019/B08.1,B08.1,Molluscum contagiosum,category,final_code,4,http://id.who.int/icd/release/10/2019/B08,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B08.1
http://id.who.int/icd/release/10/2019/B08.2,B08.2,Exanthema subitum [sixth disease],category,final_code,4,http://id.who.int/icd/release/10/2019/B08,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B08.2
http://id.who.int/icd/release/10/2019/B08.3,B08.3,Erythema infectiosum [fifth disease],category,final_code,4,http://id.who.int/icd/release/10/2019/B08,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B08.3
http://id.who.int/icd/release/10/2019/B08.4,B08.4,Enteroviral vesicular stomatitis with exanthem,category,final_code,4,http://id.who.int/icd/release/10/2019/B08,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B08.4
